Doctors
Doctor of Accounting (DAcc)
Doctor of Nanomedicine (DNanoMed)
Doctor of Nanotechnology (DNanoTech)
Doctor of Neuroscience and Technology (DNST)
Doctor of Nonprofit Leadership (DNL)
Doctor of Nonprofit Management (DNP)
Doctor of Nuclear Engineering (DNE)
Doctor of Nursing Practice (DNP)
Doctor of Nutrition (DNut)
Doctor of Occupational Therapy (OTD)
Doctor of Oceanography (DOceanog)
Doctor of Optometry (OD)
Doctor of Oral Health Sciences (DOHS)
Doctor of Organizational Leadership (DOL)
Doctor of Organizational Psychology (DOrgPsy)
Doctor of Pathology (DPath)
Doctor of Peace and Conflict Studies (DPCS)
Doctor of Peacebuilding (DPB)
Doctor of Pharmaceutical Sciences (DPharmSci)
Doctor of Pharmacology and Toxicology (DPharmTox)
Doctor of Pharmacy (PharmD)
Doctor of Philosophy (PhD)
Doctor of Philosophy in Mathematics (PhD Math)
Doctor of Philosophy in Sociology (PhD Soc)
Doctor of Photography (DPhoto)
Doctor of Physical Therapy (DPT)
Doctor of Physics (PhD Phys)
Doctor of Podiatric Medicine (DPM)
Doctor of Political Economy (DPE)
Doctor of Political Science (DPolSci)
Doctor of Precision Medicine (DPMed)
Doctor of Project Management (DPMgt)
Doctor of Psychology (PsyD)
Doctor of Psychology in Clinical Psychology (PhD Clin Psych)
Doctor of Psychology in Counseling Psychology (PhD Couns Psych)
Doctor of Public Administration (DPA)
Doctor of Public Health (DrPH)
Doctor of Public Health Informatics (DPHI)
Doctor of Public Health Leadership (DPHL)
Doctor of Public Policy (DPP)
Doctor of Public Relations (DPR)
Doctor of Public Sector Leadership (DPSL)
Doctor of Quantum Computing (DQC)
Doctor of Real Estate (DRE)
Doctor of Regenerative Engineering (DREng)
Doctor of Regenerative Medicine (DRMed)
Doctor of Rehabilitation Counseling (DRC)
Doctor of Rehabilitation Science (DRS)
Doctor of Renewable Energy (DREnergy)
Doctor of Renewable Energy Engineering (DREE)
Doctor of Risk Analysis and Management (DRAM)
Doctor of Sacred Theology (STD)
Doctor of Science (DSc)
Doctor of Scientific Computing (DSC)
Doctor of Screenwriting (DSWri)
Doctor of Security Studies (DSS)
Doctor of Smart Cities and Urban Planning (DSCUP)
Doctor of Social and Behavioral Health (DSBH)
Doctor of Social and Environmental Sustainability (DSES)
Doctor of Social Policy and Administration (DSPA)
Doctor of Social Science (DSS)
Doctor of Social Work (DSW)
Doctor of Sociology (DSoc)
Doctor of Soil Science (DSoilSci)
Doctor of Space Engineering (DSpEng)
Doctor of Special Education (EdD Spec Ed)
Doctor of Sports Management (DSM)
Doctor of Sports Management and Analytics (DSMA)
Doctor of Sports Medicine and Rehabilitation (DSMR)
Doctor of Sports Psychology (DSPsy)
Doctor of Sports Science (DSS)
Doctor of Stem Cell Biology (DSCB)
Doctor of Stem Cell Research (DSCR)
Doctor of Strategic Communication (DSC)
Doctor of Strategic Leadership (DSL)
Doctor of Supply Chain Management (DSCM)
Doctor of Sustainability Studies (DSSus)
Doctor of Sustainable Agriculture (DSAgr)
Doctor of Sustainable Development (DSD)
Doctor of Taxation (DTax)
Doctor of Technology (DTech)
Doctor of Theatre and Performance Studies (DTPS)
Doctor of Theatre Arts (DTA)
Doctor of Theology (ThD)
Doctor of Theoretical Physics (DTheoPhys)
Doctor of Tourism Management (DMTM)
Doctor of Translational Medicine (DTMed)
Doctor of Transnational Law (DTL)
Doctor of Urban Environmental Studies (DUES)
Doctor of Urban Planning (DUP)
Doctor of Urban Studies (DUS)
Doctor of Veterinary Medicine (DVM)
Doctor of Visual Arts (DVA)
Doctor of Visual Culture (DVC)
Doctor of Writing Studies (DWS)
Juris Doctor (JD)
